prompt,modified_prompt
"A portrait photo of a kangaroo wearing an orange hoodie and blue sunglasses standing on the grass in front of the Sydney Opera House holding a sign on the chest that says Welcome Friends, subject: kangaroo, subject detail: wearing orange hoodie, wearing blue sunglasses, subject location: sydney opera house, subject action: holding sign","A portrait photo of a kangaroo wearing an orange hoodie and blue sunglasses standing on the grass in front of the Sydney Opera House holding a sign on the chest that says Welcome Friends, subject: kangaroo, subject detail: wearing orange hoodie, wearing blue sunglasses, subject location: sydney opera house, subject action: holding sign in vibrant colors"
inmates with cow heads inside a jailcell,inmates with cow heads inside a jailcell with dim lighting
"daguerrotype of a corgi astronaut on the moon, award - winning photograph, vintage, stunning","daguerrotype of a corgi astronaut on the moon, award - winning photograph, vintage, stunning in high contrast"
totem animal tribal chaman vodoo mask feather gemstone plant wood rock video game illustration vivid color borderlands by josan gonzales and dan mumford radiating a glowing aura,totem animal tribal chaman vodoo mask feather gemstone plant wood rock video game illustration vivid color borderlands by josan gonzales and dan mumford radiating a glowing aura with dim lighting
p. cubensis,p. cubensis in high contrast
"Illustration of a sugar skull day of the dead girl, art by christopher vacher","Illustration of a sugar skull day of the dead girl, art by christopher vacher with dim lighting"
"two gnomes standing in front of a circular portal, open to a red world. Detailed digital matte painting in the style of simon stalenhag","two gnomes standing in front of a circular portal, open to a red world. Detailed digital matte painting in the style of simon stalenhag with a cinematic atmosphere"
"tall, security guard checks the bags of a worried looking woman, art, satire","tall, security guard checks the bags of a worried looking woman, art, satire in high contrast"
"a colorful vibrant closeup portrait of a magician licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation","a colorful vibrant closeup portrait of a magician licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation with a cinematic atmosphere"
mr clean mr clean mr clean and mike tyson laughing,mr clean mr clean mr clean and mike tyson laughing with dramatic shadows
"hulk, marvel, artwork by nicholas roerich,","hulk, marvel, artwork by nicholas roerich, with dramatic shadows"
"fantasy cat, high detail, digital art, beautiful , concept art,fantasy art, 4k","fantasy cat, high detail, digital art, beautiful , concept art,fantasy art, 4k with dramatic shadows"
carly shay from icarly (2010) meets joe biden,carly shay from icarly (2010) meets joe biden with dim lighting
"portrait photo of Obama finding a giant red mushroom, exhilarated, portrait, closeup. mouth open, 30mm, bokeh","portrait photo of Obama finding a giant red mushroom, exhilarated, portrait, closeup. mouth open, 30mm, bokeh in vibrant colors"
"portrait of an anime girl in white and golden clothes , digital painting , artstation , gorgeous , cute , beautiful , elegant , devian art , 4k , HD","portrait of an anime girl in white and golden clothes , digital painting , artstation , gorgeous , cute , beautiful , elegant , devian art , 4k , HD in high contrast"
a future worth fighting for,a future worth fighting for in high contrast
"girl with super long hair, hair becoming autumn red leaves, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, unreal engine 5, 8 k, art by artgerm and greg rutkowski and alphonse mucha","girl with super long hair, hair becoming autumn red leaves, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, unreal engine 5, 8 k, art by artgerm and greg rutkowski and alphonse mucha with dim lighting"
"Automotive design art, digital art, marker art, Frank Stephenson, gordon murray, trending on Behance, trending on artstation, trending on deviantart, trending on dezeen,","Automotive design art, digital art, marker art, Frank Stephenson, gordon murray, trending on Behance, trending on artstation, trending on deviantart, trending on dezeen, with dim lighting"
"scifi art by greg rutkowski, a very tall, and slender man, activating the ship's self - destruct sequence, claustrophobic and futuristic environment, detailed and intricate environment, high technology, highly detailed portrait, digital painting, artstation, concept art, smooth, sharp foccus ilustration, artstation hq.","scifi art by greg rutkowski, a very tall, and slender man, activating the ship's self - destruct sequence, claustrophobic and futuristic environment, detailed and intricate environment, high technology, highly detailed portrait, digital painting, artstation, concept art, smooth, sharp foccus ilustration, artstation hq. in high contrast"
"evil cyberpunk inspired avant-garde art, deco fashion, highly detailed, photorealistic portrait, bright studio setting, studio lighting, crisp quality and light reflections, unreal engine 5 quality render","evil cyberpunk inspired avant-garde art, deco fashion, highly detailed, photorealistic portrait, bright studio setting, studio lighting, crisp quality and light reflections, unreal engine 5 quality render in high contrast"
"skinny nerdy poindexter white kid with glasses playing computer games by Stanley Artgerm Lau, greg rutkowski, thomas kindkade, alphonse mucha, loish, norman Rockwel","skinny nerdy poindexter white kid with glasses playing computer games by Stanley Artgerm Lau, greg rutkowski, thomas kindkade, alphonse mucha, loish, norman Rockwel with dim lighting"
"a city made entirely out of Rubik\'s cubes, daylight, sunlight, lens flare, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, 8k, photorealistic, 25mm f/1.7 ASPH Lens, ultra realistic steampunk illustration, art by greg rutkowski and alphonse mucha","a city made entirely out of Rubik\'s cubes, daylight, sunlight, lens flare, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, 8k, photorealistic, 25mm f/1.7 ASPH Lens, ultra realistic steampunk illustration, art by greg rutkowski and alphonse mucha in vibrant colors"
A Landscape by Charles Addams and salvador dali,A Landscape by Charles Addams and salvador dali in vibrant colors
"spiderman spider verse, screenshot, concept art, trending on artstation, by alberto mielgo","spiderman spider verse, screenshot, concept art, trending on artstation, by alberto mielgo in vibrant colors"
film still. screenshot. macro shot. newspaper headline. close up. extremely detailed. directed by christopher nolan and denis villeneuve. 4 k.,film still. screenshot. macro shot. newspaper headline. close up. extremely detailed. directed by christopher nolan and denis villeneuve. 4 k. with a cinematic atmosphere
"giant shiny black spheres, crashed in the ground, cracks, gas fire in cracks, viewed from the side, hd photograph","giant shiny black spheres, crashed in the ground, cracks, gas fire in cracks, viewed from the side, hd photograph with dim lighting"
"Jack Nicholson plays Terminator Pikachu, scene where his inner exoskeleton is visible and his eye glows red, still from the film","Jack Nicholson plays Terminator Pikachu, scene where his inner exoskeleton is visible and his eye glows red, still from the film in high contrast"
"portrait of a mix of beautiful young maria shriver, mariel hemmingway, brooke shields and elle macpherson as supergirl, thin lips, hair tied up in a pony tail, colorful artstation, cgsociety","portrait of a mix of beautiful young maria shriver, mariel hemmingway, brooke shields and elle macpherson as supergirl, thin lips, hair tied up in a pony tail, colorful artstation, cgsociety in vibrant colors"
Bamberg painted by Monet,Bamberg painted by Monet in high contrast
"a detailed fifty mm portrait of billy boyd as a hobbit in a black adidas track suit with white stripes, headshot, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by met mangindaan, artgerm and greg rutkowski, alphonse mucha, cgsociety","a detailed fifty mm portrait of billy boyd as a hobbit in a black adidas track suit with white stripes, headshot, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by met mangindaan, artgerm and greg rutkowski, alphonse mucha, cgsociety with a cinematic atmosphere"
portrait painting of hector barbossa,portrait painting of hector barbossa in vibrant colors
"glowing jellyfish, highly detailed, digital art, sharp focus, trending on art station","glowing jellyfish, highly detailed, digital art, sharp focus, trending on art station with dim lighting"
"ancient greek statues taking selfies and watching stone ipads, marble detailed, exploration, national geographic, volumetric lighting","ancient greek statues taking selfies and watching stone ipads, marble detailed, exploration, national geographic, volumetric lighting with dim lighting"
"ancient greek statues taking selfies and watching stone ipads, marble detailed, exploration, national geographic, volumetric lighting","ancient greek statues taking selfies and watching stone ipads, marble detailed, exploration, national geographic, volumetric lighting in high contrast"
"teddybear surrounded by bubbles, vector art, crochet, cute, art print, lithography","teddybear surrounded by bubbles, vector art, crochet, cute, art print, lithography with a cinematic atmosphere"
"painting of a old man walking through the streets of ruined london city 1 9 8 4 edward hopper and james gilleard zdzisław beksinski in the style of francis bacon, surreal, norman rockwell and malcolm liepke james jean, greg hildebrandt, and mark brooks, triadic color scheme, by greg rutkowski, in the style of syd mead","painting of a old man walking through the streets of ruined london city 1 9 8 4 edward hopper and james gilleard zdzisław beksinski in the style of francis bacon, surreal, norman rockwell and malcolm liepke james jean, greg hildebrandt, and mark brooks, triadic color scheme, by greg rutkowski, in the style of syd mead with a cinematic atmosphere"
"a metallic crystal creature, 4K HD, Y2K","a metallic crystal creature, 4K HD, Y2K with dim lighting"
